Rank,Country/Territory,Capital,Continent,2022 Population,2020 Population,2015 Population
151,Latvia,Riga,Europe,1850651,1897052,1991955
119,Lebanon,Beirut,Asia,5489739,5662923,6398940
147,Lesotho,Maseru,Africa,2305825,2254100,2118521
121,Liberia,Monrovia,Africa,5302681,5087584,4612329
107,Libya,Tripoli,Africa,6812341,6653942,6192235
216,Liechtenstein,Vaduz,Europe,39327,38756,37355
141,Lithuania,Vilnius,Europe,2750055,2820267,2963765
168,Luxembourg,Luxembourg,Europe,647599,630399,569408
167,Macau,Concelho de Macau,Asia,695168,676283,615239
50,Madagascar,Antananarivo,Africa,29611714,28225177,24850912
62,Malawi,Lilongwe,Africa,20405317,19377061,16938942
45,Malaysia,Kuala Lumpur,Asia,33938221,33199993,31068833
174,Maldives,Malé,Asia,523787,514438,435582
59,Mali,Bamako,Africa,22593590,21224040,18112907
173,Malta,Valletta,Europe,533286,515357,456579
215,Marshall Islands,Majuro,Oceania,41569,43413,49410
180,Martinique,Fort-de-France,North America,367507,370391,383515
126,Mauritania,Nouakchott,Africa,4736139,4498604,3946220
157,Mauritius,Port Louis,Africa,1299469,1297828,1293153
182,Mayotte,Mamoudzou,Africa,326101,305587,249545
10,Mexico,Mexico City,North America,127504125,125998302,120149897
194,Micronesia,Palikir,Oceania,114164,112106,109462
135,Moldova,Chisinau,Europe,3272996,3084847,3277388
217,Monaco,Monaco,Europe,36469,36922,36760
134,Mongolia,Ulaanbaatar,Asia,3398366,3294335,2964749
169,Montenegro,Podgorica,Europe,627082,629048,633966
230,Montserrat,Brades,North America,4390,4500,5059
40,Morocco,Rabat,Africa,37457971,36688772,34680458
48,Mozambique,Maputo,Africa,32969517,31178239,26843246
26,Myanmar,Nay Pyi Taw,Asia,54179306,53423198,51483949
145,Namibia,Windhoek,Africa,2567012,2489098,2282704
225,Nauru,Yaren,Oceania,12668,12315,11185
49,Nepal,Kathmandu,Asia,30547580,29348627,27610325
71,Netherlands,Amsterdam,Europe,17564014,17434557,17041107
185,New Caledonia,Nouméa,Oceania,289950,286403,283032
123,New Zealand,Wellington,Oceania,5185288,5061133,4590590
106,Nicaragua,Managua,North America,6948392,6755895,6298598
54,Niger,Niamey,Africa,26207977,24333639,20128124
6,Nigeria,Abuja,Africa,218541212,208327405,183995785
232,Niue,Alofi,Oceania,1934,1942,1847
56,North Korea,Pyongyang,Asia,26069416,25867467,25258015
150,North Macedonia,Skopje,Europe,2093599,2111072,2107962
210,Northern Mariana Islands,Saipan,Oceania,49551,49587,51514
120,Norway,Oslo,Europe,5434319,5379839,5190356
127,Oman,Muscat,Asia,4576298,4543399,4191776
5,Pakistan,Islamabad,Asia,235824862,227196741,210969298
222,Palau,Ngerulmud,Oceania,18055,17972,17794
122,Palestine,Ramallah,Asia,5250072,5019401,4484614
128,Panama,Panama City,North America,4408581,4294396,3957099
93,Papua New Guinea,Port Moresby,Oceania,10142619,9749640,8682174
109,Paraguay,Asunción,South America,6780744,6618695,6177950
